ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
cjx96zfvx0drq0a26rw7vy1iv,cjtn8nc0fofab0bqpubkv4t8w,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2F4cb44cf3-088a-169f-ca83-323670240bec-MendeManual-92.png,Skip,haberc@uw.edu,BilingualDataTagging,1561308862000,1561308862000,10.698,MendeManual-92.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx96zfvx0drq0a26rw7vy1iv
cjx970ocjbucp0891u6ap8ae6,cjtn8nc0fofaf0bqp809lfxts,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2Fedd82576-a295-b567-9b92-55cdb798f8d5-MendeManual-91.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":517,""y"":350},{""x"":2399,""y"":579}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":505,""y"":690},{""x"":2594,""y"":1007}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":512,""y"":1127},{""x"":2641,""y"":1818}]}]}",haberc@uw.edu,BilingualDataTagging,1561308919000,1561308919000,57.249,MendeManual-91.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx970ocjbucp0891u6ap8ae6
cjx971dx617ik08902nqmmbwi,cjtn8nc0fofaj0bqptgniq6vg,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2F2996ece9-3a30-23f0-6ad0-2e3e06325d7c-MendeManual-90.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":516,""y"":330},{""x"":2630,""y"":759}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":527,""y"":866},{""x"":2669,""y"":1547}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":523,""y"":1675},{""x"":2651,""y"":2994}]}]}",haberc@uw.edu,BilingualDataTagging,1561308953000,1561308972000,32.685,MendeManual-90.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx971dx617ik08902nqmmbwi
cjx972rasbumf08911yfh7lft,cjtn8nc0fofan0bqpejpbzwl0,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2F677e4e55-69a7-40cb-f0bf-e197cccaad9a-MendeManual-89.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":492,""y"":318},{""x"":2644,""y"":1865}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":503,""y"":1988},{""x"":2676,""y"":3338}]}]}",haberc@uw.edu,BilingualDataTagging,1561309017000,1561309043000,38.415,MendeManual-89.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx972rasbumf08911yfh7lft
cjx974gfm0efz0a26m58b8qq7,cjtn8nc0fofar0bqpi9frw6qq,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2Fe39e7ddc-cf83-2439-0fb3-9aa1c4a4d84b-MendeManual-88.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":530,""y"":174},{""x"":2665,""y"":1270}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":519,""y"":1381},{""x"":2689,""y"":1869}]}]}",haberc@uw.edu,BilingualDataTagging,1561309096000,1561309096000,43.875,MendeManual-88.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx974gfm0efz0a26m58b8qq7
cjx974vip1szb0836zi15ui00,cjtn8nc0fofav0bqp9cvb5tjd,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2Fe2e19665-42b5-c2bd-f169-6e250be098b7-MendeManual-87.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":481,""y"":210},{""x"":2710,""y"":1221}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":500,""y"":1333},{""x"":2647,""y"":2774}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":494,""y"":2886},{""x"":2651,""y"":3466}]}]}",haberc@uw.edu,BilingualDataTagging,1561309115000,1561309153000,19.222,MendeManual-87.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx974vip1szb0836zi15ui00
cjx976nzdbv3d0891r3lz7ftl,cjtn8nc0fofaz0bqp68x380wb,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2Fd8984e42-0564-b1db-736c-dc7194c2e638-MendeManual-86.png,"{""Table"":[{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":497,""y"":484},{""x"":2629,""y"":2195}]},{""select_how_many_columns"":""quad-columnar"",""geometry"":[{""x"":491,""y"":2304},{""x"":2626,""y"":3409}]}]}",haberc@uw.edu,BilingualDataTagging,1561309199000,1561309199000,34.161,MendeManual-86.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx976nzdbv3d0891r3lz7ftl
cjx976zkk0p3o0800jgfnjrtd,cjtn8nc0fofb30bqpkpoa9yyo,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2F7811b7a1-0e3d-6fce-bab6-6771891efad1-MendeManual-85.png,"{""Table"":[{""select_how_many_columns"":""bi-columnar"",""geometry"":[{""x"":471,""y"":283},{""x"":2547,""y"":2413}]}]}",haberc@uw.edu,BilingualDataTagging,1561309214000,1561309214000,14.716,MendeManual-85.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx976zkk0p3o0800jgfnjrtd
cjx977hv5a1qg0884pbelx2qj,cjtn8nc0fofb70bqpamj7yrzw,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2F8e039b11-027a-cabd-efda-d28d19c90109-MendeManual-84.png,"{""Table"":[{""select_how_many_columns"":""bi-columnar"",""geometry"":[{""x"":499,""y"":480},{""x"":2714,""y"":3504}]}]}",haberc@uw.edu,BilingualDataTagging,1561309238000,1561309238000,23.35,MendeManual-84.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx977hv5a1qg0884pbelx2qj
cjx978anva1ue088457amb8p1,cjtn8nc0fofbb0bqpjjjnyoop,https://storage.googleapis.com/labelbox-193903.appspot.com/cjtn8mnpenkfa07991d1gorsl%2Fcebab617-b3f1-2749-8659-f4d292e224a1-MendeManual-83.png,Skip,haberc@uw.edu,BilingualDataTagging,1561309275000,1561309275000,36.894,MendeManual-83.png,,,,,Mende,[],https://image-segmentation-v4.labelbox.com?project=cjtn8nulcnp0l0878dla0tap0&label=cjx978anva1ue088457amb8p1
